chunksize, num_threads, reps, t1, res1, t2, res2 
2, 2, 10, -343021.474766, 0.844577, -25242644.603147, 4.596646
2, 4, 01, -343021.474766, 0.460899, -25242644.603147, 2.455205
2, 4, 02, -343021.474766, 0.438661, -25242644.603147, 2.451360
2, 4, 03, -343021.474766, 0.435033, -25242644.603147, 2.450302
2, 4, 04, -343021.474766, 0.450827, -25242644.603147, 2.463714
2, 4, 05, -343021.474766, 0.442032, -25242644.603147, 2.459844
2, 4, 06, -343021.474766, 0.440481, -25242644.603147, 2.454142
2, 4, 07, -343021.474766, 0.432172, -25242644.603147, 2.478813
2, 4, 08, -343021.474766, 0.446527, -25242644.603147, 2.442556
2, 4, 09, -343021.474766, 0.444010, -25242644.603147, 2.438580
2, 4, 10, -343021.474766, 0.419573, -25242644.603147, 2.469112
2, 6, 01, -343021.474766, 0.332308, -25242644.603147, 1.783510
2, 6, 02, -343021.474766, 0.325572, -25242644.603147, 1.745349
2, 6, 03, -343021.474766, 0.311352, -25242644.603147, 1.750909
2, 6, 04, -343021.474766, 0.326329, -25242644.603147, 1.775735
2, 6, 05, -343021.474766, 0.310318, -25242644.603147, 1.785528
2, 6, 06, -343021.474766, 0.348102, -25242644.603147, 1.785790
2, 6, 07, -343021.474766, 0.300920, -25242644.603147, 1.764630
2, 6, 08, -343021.474766, 0.307185, -25242644.603147, 1.761281
2, 6, 09, -343021.474766, 0.307854, -25242644.603147, 1.756609
2, 6, 10, -343021.474766, 0.325937, -25242644.603147, 1.789065
2, 8, 01, -343021.474766, 0.259458, -25242644.603147, 1.304795
2, 8, 02, -343021.474766, 0.244244, -25242644.603147, 1.336247
2, 8, 03, -343021.474766, 0.242721, -25242644.603147, 1.411917
2, 8, 04, -343021.474766, 0.230296, -25242644.603147, 1.373511
2, 8, 05, -343021.474766, 0.242994, -25242644.603147, 1.341555
2, 8, 06, -343021.474766, 0.243211, -25242644.603147, 1.354031
2, 8, 07, -343021.474766, 0.263001, -25242644.603147, 1.428655
2, 8, 08, -343021.474766, 0.267732, -25242644.603147, 1.362463
2, 8, 09, -343021.474766, 0.227407, -25242644.603147, 1.342619
2, 8, 10, -343021.474766, 0.250879, -25242644.603147, 1.291797
2, 16, 01, -343021.474766, 0.165270, -25242644.603147, 0.786198
2, 16, 02, -343021.474766, 0.148490, -25242644.603147, 0.762585
2, 16, 03, -343021.474766, 0.161586, -25242644.603147, 0.742933
2, 16, 04, -343021.474766, 0.178517, -25242644.603147, 0.768763
2, 16, 05, -343021.474766, 0.141495, -25242644.603147, 0.737296
2, 16, 06, -343021.474766, 0.151198, -25242644.603147, 0.773204
2, 16, 07, -343021.474766, 0.133541, -25242644.603147, 0.743964
2, 16, 08, -343021.474766, 0.157910, -25242644.603147, 0.770868
2, 16, 09, -343021.474766, 0.155203, -25242644.603147, 0.768122
2, 16, 10, -343021.474766, 0.140822, -25242644.603147, 0.742787
4, 1, 01, -343021.474766, 1.641346, -25242644.603147, 8.671926
4, 1, 02, -343021.474766, 1.640890, -25242644.603147, 8.671788
4, 1, 03, -343021.474766, 1.667196, -25242644.603147, 8.674349
4, 1, 04, -343021.474766, 1.675448, -25242644.603147, 8.666646
4, 1, 05, -343021.474766, 1.640648, -25242644.603147, 8.666168
4, 1, 06, -343021.474766, 1.668582, -25242644.603147, 8.668695
4, 1, 07, -343021.474766, 1.675875, -25242644.603147, 8.674619
4, 1, 08, -343021.474766, 1.672825, -25242644.603147, 8.672516
4, 1, 09, -343021.474766, 1.641460, -25242644.603147, 8.671453
4, 1, 10, -343021.474766, 1.670313, -25242644.603147, 8.674958
4, 2, 01, -343021.474766, 0.857567, -25242644.603147, 4.419782
4, 2, 02, -343021.474766, 0.861091, -25242644.603147, 4.425733
4, 2, 03, -343021.474766, 0.849656, -25242644.603147, 4.425967
4, 2, 04, -343021.474766, 0.858194, -25242644.603147, 4.425398
4, 2, 05, -343021.474766, 0.858013, -25242644.603147, 4.421922
4, 2, 06, -343021.474766, 0.846567, -25242644.603147, 4.429728
4, 2, 07, -343021.474766, 0.861244, -25242644.603147, 4.426365
4, 2, 08, -343021.474766, 0.855329, -25242644.603147, 4.427008
4, 2, 09, -343021.474766, 0.851250, -25242644.603147, 4.423482
4, 2, 10, -343021.474766, 0.824041, -25242644.603147, 4.419666
4, 4, 01, -343021.474766, 0.450839, -25242644.603147, 2.395736
4, 4, 02, -343021.474766, 0.441462, -25242644.603147, 2.396786
4, 4, 03, -343021.474766, 0.448063, -25242644.603147, 2.390729
4, 4, 04, -343021.474766, 0.444067, -25242644.603147, 2.383324
4, 4, 05, -343021.474766, 0.445323, -25242644.603147, 2.388294
4, 4, 06, -343021.474766, 0.420623, -25242644.603147, 2.392339
4, 4, 07, -343021.474766, 0.441273, -25242644.603147, 2.389895
4, 4, 08, -343021.474766, 0.441993, -25242644.603147, 2.393216
4, 4, 09, -343021.474766, 0.433471, -25242644.603147, 2.385459
4, 4, 10, -343021.474766, 0.433591, -25242644.603147, 2.389949
4, 6, 01, -343021.474766, 0.312023, -25242644.603147, 1.622288
4, 6, 02, -343021.474766, 0.284278, -25242644.603147, 1.629577
4, 6, 03, -343021.474766, 0.310664, -25242644.603147, 1.614412
4, 6, 04, -343021.474766, 0.307321, -25242644.603147, 1.624199
4, 6, 05, -343021.474766, 0.357027, -25242644.603147, 1.626644
4, 6, 06, -343021.474766, 0.291567, -25242644.603147, 1.652203
4, 6, 07, -343021.474766, 0.311737, -25242644.603147, 1.624853
4, 6, 08, -343021.474766, 0.316986, -25242644.603147, 1.621051
4, 6, 09, -343021.474766, 0.296309, -25242644.603147, 1.655637
4, 6, 10, -343021.474766, 0.311179, -25242644.603147, 1.643580
4, 8, 01, -343021.474766, 0.243853, -25242644.603147, 1.216632
4, 8, 02, -343021.474766, 0.240850, -25242644.603147, 1.216898
4, 8, 03, -343021.474766, 0.242322, -25242644.603147, 1.240014
4, 8, 04, -343021.474766, 0.230218, -25242644.603147, 1.232783
4, 8, 05, -343021.474766, 0.238128, -25242644.603147, 1.248859
4, 8, 06, -343021.474766, 0.242358, -25242644.603147, 1.212966
4, 8, 07, -343021.474766, 0.236869, -25242644.603147, 1.248584
4, 8, 08, -343021.474766, 0.231010, -25242644.603147, 1.218359
4, 8, 09, -343021.474766, 0.246062, -25242644.603147, 1.219376
4, 8, 10, -343021.474766, 0.220875, -25242644.603147, 1.214334
4, 16, 01, -343021.474766, 0.151119, -25242644.603147, 0.720844
4, 16, 02, -343021.474766, 0.145182, -25242644.603147, 0.702962
4, 16, 03, -343021.474766, 0.170791, -25242644.603147, 0.728027
4, 16, 04, -343021.474766, 0.165460, -25242644.603147, 0.715935
4, 16, 05, -343021.474766, 0.145666, -25242644.603147, 0.729761
4, 16, 06, -343021.474766, 0.150594, -25242644.603147, 0.713475
4, 16, 07, -343021.474766, 0.132711, -25242644.603147, 0.734840
4, 16, 08, -343021.474766, 0.162297, -25242644.603147, 0.719062
4, 16, 09, -343021.474766, 0.153853, -25242644.603147, 0.733302
4, 16, 10, -343021.474766, 0.136339, -25242644.603147, 0.709465
8, 1, 01, -343021.474766, 1.675723, -25242644.603147, 8.674051
8, 1, 02, -343021.474766, 1.642282, -25242644.603147, 8.674822
8, 1, 03, -343021.474766, 1.641173, -25242644.603147, 8.675336
8, 1, 04, -343021.474766, 1.670665, -25242644.603147, 8.675708
8, 1, 05, -343021.474766, 1.667107, -25242644.603147, 8.673851
8, 1, 06, -343021.474766, 1.672256, -25242644.603147, 8.674546
8, 1, 07, -343021.474766, 1.675368, -25242644.603147, 8.667543
8, 1, 08, -343021.474766, 1.677407, -25242644.603147, 8.671480
8, 1, 09, -343021.474766, 1.676306, -25242644.603147, 8.669214
8, 1, 10, -343021.474766, 1.677904, -25242644.603147, 8.671260
8, 2, 01, -343021.474766, 0.856719, -25242644.603147, 4.420505
8, 2, 02, -343021.474766, 0.843856, -25242644.603147, 4.423038
8, 2, 03, -343021.474766, 0.844689, -25242644.603147, 4.416634
8, 2, 04, -343021.474766, 0.855304, -25242644.603147, 4.425609
8, 2, 05, -343021.474766, 0.858509, -25242644.603147, 4.417802
8, 2, 06, -343021.474766, 0.845234, -25242644.603147, 4.423036
8, 2, 07, -343021.474766, 0.857041, -25242644.603147, 4.420000
8, 2, 08, -343021.474766, 0.854624, -25242644.603147, 4.427450
8, 2, 09, -343021.474766, 0.841868, -25242644.603147, 4.425047
8, 2, 10, -343021.474766, 0.856015, -25242644.603147, 4.422436
8, 4, 01, -343021.474766, 0.460968, -25242644.603147, 2.212401
8, 4, 02, -343021.474766, 0.418685, -25242644.603147, 2.211987
8, 4, 03, -343021.474766, 0.435304, -25242644.603147, 2.220509
8, 4, 04, -343021.474766, 0.449841, -25242644.603147, 2.223073
8, 4, 05, -343021.474766, 0.431453, -25242644.603147, 2.218072
8, 4, 06, -343021.474766, 0.456688, -25242644.603147, 2.212225
8, 4, 07, -343021.474766, 0.453297, -25242644.603147, 2.209361
8, 4, 08, -343021.474766, 0.438401, -25242644.603147, 2.212466
8, 4, 09, -343021.474766, 0.438987, -25242644.603147, 2.211355
8, 4, 10, -343021.474766, 0.448888, -25242644.603147, 2.211359
8, 6, 01, -343021.474766, 0.333321, -25242644.603147, 1.558310
8, 6, 02, -343021.474766, 0.290532, -25242644.603147, 1.557763
8, 6, 03, -343021.474766, 0.318510, -25242644.603147, 1.557648
8, 6, 04, -343021.474766, 0.313963, -25242644.603147, 1.558203
8, 6, 05, -343021.474766, 0.309946, -25242644.603147, 1.557837
8, 6, 06, -343021.474766, 0.313236, -25242644.603147, 1.557376
8, 6, 07, -343021.474766, 0.301611, -25242644.603147, 1.557588
8, 6, 08, -343021.474766, 0.308605, -25242644.603147, 1.557971
8, 6, 09, -343021.474766, 0.305123, -25242644.603147, 1.558156
8, 6, 10, -343021.474766, 0.295151, -25242644.603147, 1.557812
8, 8, 01, -343021.474766, 0.250996, -25242644.603147, 1.171256
8, 8, 02, -343021.474766, 0.244993, -25242644.603147, 1.169841
8, 8, 03, -343021.474766, 0.220285, -25242644.603147, 1.169838
8, 8, 04, -343021.474766, 0.240536, -25242644.603147, 1.169738
8, 8, 05, -343021.474766, 0.240998, -25242644.603147, 1.169960
8, 8, 06, -343021.474766, 0.234917, -25242644.603147, 1.169780
8, 8, 07, -343021.474766, 0.229362, -25242644.603147, 1.169931
8, 8, 08, -343021.474766, 0.241497, -25242644.603147, 1.172692
8, 8, 09, -343021.474766, 0.240704, -25242644.603147, 1.169891
8, 8, 10, -343021.474766, 0.260317, -25242644.603147, 1.169705
8, 16, 01, -343021.474766, 0.153692, -25242644.603147, 1.046081
8, 16, 02, -343021.474766, 0.181779, -25242644.603147, 1.077264
8, 16, 03, -343021.474766, 0.160269, -25242644.603147, 1.044043
8, 16, 04, -343021.474766, 0.158162, -25242644.603147, 1.041071
8, 16, 05, -343021.474766, 0.144934, -25242644.603147, 1.043664
8, 16, 06, -343021.474766, 0.149279, -25242644.603147, 1.045053
