exec, num_threads, reps, res1, t1, res2, t2 
1, 1, 2, -343021.474766, 1.642214, -25242644.603147, 8.669203
1, 1, 3, -343021.474766, 1.678510, -25242644.603147, 8.669209
1, 1, 4, -343021.474766, 1.671576, -25242644.603147, 8.669186
1, 1, 5, -343021.474766, 1.670254, -25242644.603147, 8.673193
1, 1, 6, -343021.474766, 1.672699, -25242644.603147, 8.672750
1, 1, 7, -343021.474766, 1.675551, -25242644.603147, 8.670790
1, 1, 8, -343021.474766, 1.677794, -25242644.603147, 8.670083
1, 1, 9, -343021.474766, 1.675510, -25242644.603147, 8.670628
1, 1, 10, -343021.474766, 1.673851, -25242644.603147, 8.669346
1, 2, 0, -343021.474766, 0.858210, -25242644.603147, 4.463377
1, 2, 1, -343021.474766, 0.855517, -25242644.603147, 4.464999
1, 2, 2, -343021.474766, 0.843195, -25242644.603147, 5.159936
1, 2, 3, -343021.474766, 0.854366, -25242644.603147, 4.468879
1, 2, 4, -343021.474766, 0.837851, -25242644.603147, 4.464504
1, 2, 5, -343021.474766, 0.855245, -25242644.603147, 4.468656
1, 2, 6, -343021.474766, 0.863090, -25242644.603147, 4.467981
1, 2, 7, -343021.474766, 0.846166, -25242644.603147, 4.466991
1, 2, 8, -343021.474766, 0.839316, -25242644.603147, 4.469648
1, 2, 9, -343021.474766, 0.858082, -25242644.603147, 4.468652
1, 2, 10, -343021.474766, 0.843280, -25242644.603147, 4.462679
1, 4, 0, -343021.474766, 0.445779, -25242644.603147, 2.401400
1, 4, 1, -343021.474766, 0.435214, -25242644.603147, 2.409421
1, 4, 2, -343021.474766, 0.438982, -25242644.603147, 2.409597
1, 4, 3, -343021.474766, 0.455380, -25242644.603147, 2.419777
1, 4, 4, -343021.474766, 0.424895, -25242644.603147, 2.398748
1, 4, 5, -343021.474766, 0.439575, -25242644.603147, 2.410415
1, 4, 6, -343021.474766, 0.447901, -25242644.603147, 2.401220
1, 4, 7, -343021.474766, 0.442612, -25242644.603147, 2.404520
1, 4, 8, -343021.474766, 0.476112, -25242644.603147, 2.374275
1, 4, 9, -343021.474766, 0.446898, -25242644.603147, 2.404675
1, 4, 10, -343021.474766, 0.464594, -25242644.603147, 2.429681
1, 6, 0, -343021.474766, 0.317513, -25242644.603147, 1.652278
1, 6, 1, -343021.474766, 0.331697, -25242644.603147, 1.664183
1, 6, 2, -343021.474766, 0.292430, -25242644.603147, 1.655817
1, 6, 3, -343021.474766, 0.302736, -25242644.603147, 1.661462
1, 6, 4, -343021.474766, 0.325285, -25242644.603147, 1.652700
1, 6, 5, -343021.474766, 0.290629, -25242644.603147, 1.661675
1, 6, 6, -343021.474766, 0.313674, -25242644.603147, 1.640609
1, 6, 7, -343021.474766, 0.346960, -25242644.603147, 1.675802
1, 6, 8, -343021.474766, 0.305744, -25242644.603147, 1.664627
1, 6, 9, -343021.474766, 0.308650, -25242644.603147, 1.643575
1, 6, 10, -343021.474766, 0.313196, -25242644.603147, 1.653609
1, 8, 0, -343021.474766, 0.265780, -25242644.603147, 1.241741
1, 8, 1, -343021.474766, 0.238430, -25242644.603147, 1.236757
1, 8, 2, -343021.474766, 0.245963, -25242644.603147, 1.238883
1, 8, 3, -343021.474766, 0.245703, -25242644.603147, 1.234933
1, 8, 4, -343021.474766, 0.245025, -25242644.603147, 1.222257
1, 8, 5, -343021.474766, 0.240678, -25242644.603147, 1.250325
1, 8, 6, -343021.474766, 0.242542, -25242644.603147, 1.237015
1, 8, 7, -343021.474766, 0.246641, -25242644.603147, 1.229859
1, 8, 8, -343021.474766, 0.251167, -25242644.603147, 1.243053
1, 8, 9, -343021.474766, 0.243433, -25242644.603147, 1.234589
1, 8, 10, -343021.474766, 0.264063, -25242644.603147, 1.286128
1, 12, 0, -343021.474766, 0.174451, -25242644.603147, 0.854905
1, 12, 1, -343021.474766, 0.194224, -25242644.603147, 0.845482
1, 12, 2, -343021.474766, 0.201002, -25242644.603147, 0.843433
1, 12, 3, -343021.474766, 0.207252, -25242644.603147, 0.860035
1, 12, 4, -343021.474766, 0.171705, -25242644.603147, 0.864404
1, 12, 5, -343021.474766, 0.174118, -25242644.603147, 0.823615
1, 12, 6, -343021.474766, 0.193014, -25242644.603147, 0.862792
1, 12, 7, -343021.474766, 0.183368, -25242644.603147, 0.870027
1, 12, 8, -343021.474766, 0.183790, -25242644.603147, 0.865786
1, 12, 9, -343021.474766, 0.178944, -25242644.603147, 0.865455
1, 12, 10, -343021.474766, 0.166690, -25242644.603147, 0.857024
1, 16, 0, -343021.474766, 0.158140, -25242644.603147, 0.711456
1, 16, 1, -343021.474766, 0.167936, -25242644.603147, 0.697791
1, 16, 2, -343021.474766, 0.147195, -25242644.603147, 0.725941
1, 16, 3, -343021.474766, 0.137351, -25242644.603147, 0.697440
1, 16, 4, -343021.474766, 0.140244, -25242644.603147, 0.709464
1, 16, 5, -343021.474766, 0.170101, -25242644.603147, 0.682363
1, 16, 6, -343021.474766, 0.143279, -25242644.603147, 0.693581
1, 16, 7, -343021.474766, 0.154597, -25242644.603147, 0.702554
1, 16, 8, -343021.474766, 0.156009, -25242644.603147, 0.731982
1, 16, 9, -343021.474766, 0.145883, -25242644.603147, 0.715242
1, 16, 10, -343021.474766, 0.172246, -25242644.603147, 0.741135
2, 1, 0, -343021.474766, 1.677414, -25242644.603147, 8.672478
2, 1, 1, -343021.474766, 1.642281, -25242644.603147, 8.671095
2, 1, 2, -343021.474766, 1.642999, -25242644.603147, 8.671022
2, 1, 3, -343021.474766, 1.642941, -25242644.603147, 8.671679
2, 1, 4, -343021.474766, 1.671382, -25242644.603147, 8.672435
2, 1, 5, -343021.474766, 1.674880, -25242644.603147, 8.672106
2, 1, 6, -343021.474766, 1.674864, -25242644.603147, 8.674458
2, 1, 7, -343021.474766, 1.684213, -25242644.603147, 8.672715
2, 1, 8, -343021.474766, 1.680169, -25242644.603147, 8.673588
2, 1, 9, -343021.474766, 1.679431, -25242644.603147, 8.672588
2, 1, 10, -343021.474766, 1.671693, -25242644.603147, 8.673437
2, 2, 0, -343021.474766, 0.865714, -25242644.603147, 6.220682
2, 2, 1, -343021.474766, 0.849121, -25242644.603147, 6.220646
2, 2, 2, -343021.474766, 0.863406, -25242644.603147, 6.221389
2, 2, 3, -343021.474766, 0.859901, -25242644.603147, 6.220460
2, 2, 4, -343021.474766, 0.859834, -25242644.603147, 6.220681
2, 2, 5, -343021.474766, 0.860913, -25242644.603147, 6.222497
2, 2, 6, -343021.474766, 0.862901, -25242644.603147, 6.222816
2, 2, 7, -343021.474766, 0.855141, -25242644.603147, 6.222161
2, 2, 8, -343021.474766, 0.844530, -25242644.603147, 6.221274
2, 2, 9, -343021.474766, 0.844574, -25242644.603147, 6.222056
2, 2, 10, -343021.474766, 0.847363, -25242644.603147, 6.221762
2, 4, 0, -343021.474766, 0.459171, -25242644.603147, 4.411322
2, 4, 1, -343021.474766, 0.442405, -25242644.603147, 4.411449
2, 4, 2, -343021.474766, 0.455816, -25242644.603147, 4.411598
2, 4, 3, -343021.474766, 0.457338, -25242644.603147, 4.412164
2, 4, 4, -343021.474766, 0.450759, -25242644.603147, 4.411433
2, 4, 5, -343021.474766, 0.441625, -25242644.603147, 4.411167
2, 4, 6, -343021.474766, 0.467551, -25242644.603147, 4.412076
2, 4, 7, -343021.474766, 0.467947, -25242644.603147, 4.411725
2, 4, 8, -343021.474766, 0.458014, -25242644.603147, 4.410955
2, 4, 9, -343021.474766, 0.448466, -25242644.603147, 4.411513
2, 4, 10, -343021.474766, 0.431558, -25242644.603147, 4.411280
2, 6, 0, -343021.474766, 0.317779, -25242644.603147, 2.730794
2, 6, 1, -343021.474766, 0.322196, -25242644.603147, 2.730387
2, 6, 2, -343021.474766, 0.300805, -25242644.603147, 2.729422
2, 6, 3, -343021.474766, 0.330630, -25242644.603147, 2.730755
2, 6, 4, -343021.474766, 0.305353, -25242644.603147, 2.730605
2, 6, 5, -343021.474766, 0.338161, -25242644.603147, 2.730256
2, 6, 6, -343021.474766, 0.322996, -25242644.603147, 2.730502
2, 6, 7, -343021.474766, 0.326061, -25242644.603147, 2.730784
2, 6, 8, -343021.474766, 0.339464, -25242644.603147, 2.730224
2, 6, 9, -343021.474766, 0.307886, -25242644.603147, 2.731064
2, 6, 10, -343021.474766, 0.319691, -25242644.603147, 2.731061
2, 8, 0, -343021.474766, 0.260717, -25242644.603147, 1.578930
2, 8, 1, -343021.474766, 0.260373, -25242644.603147, 1.579071
2, 8, 2, -343021.474766, 0.250955, -25242644.603147, 1.577917
2, 8, 3, -343021.474766, 0.260546, -25242644.603147, 1.578483
2, 8, 4, -343021.474766, 0.257703, -25242644.603147, 1.577260
2, 8, 5, -343021.474766, 0.252182, -25242644.603147, 1.577611
2, 8, 6, -343021.474766, 0.255880, -25242644.603147, 1.578152
2, 8, 7, -343021.474766, 0.242266, -25242644.603147, 1.577864
2, 8, 8, -343021.474766, 0.253508, -25242644.603147, 1.578831
2, 8, 9, -343021.474766, 0.264435, -25242644.603147, 1.578417
2, 8, 10, -343021.474766, 0.240285, -25242644.603147, 1.577075
2, 12, 0, -343021.474766, 0.208780, -25242644.603147, 0.941150
2, 12, 1, -343021.474766, 0.183458, -25242644.603147, 0.946054
2, 12, 2, -343021.474766, 0.207797, -25242644.603147, 0.947493
2, 12, 3, -343021.474766, 0.198697, -25242644.603147, 1.069936
2, 12, 4, -343021.474766, 0.204205, -25242644.603147, 0.957546
2, 12, 5, -343021.474766, 0.192496, -25242644.603147, 0.949851
2, 12, 6, -343021.474766, 0.198648, -25242644.603147, 1.038824
2, 12, 7, -343021.474766, 0.181080, -25242644.603147, 0.941038
2, 12, 8, -343021.474766, 0.183433, -25242644.603147, 0.950310
2, 12, 9, -343021.474766, 0.219431, -25242644.603147, 0.946013
2, 12, 10, -343021.474766, 0.207575, -25242644.603147, 0.945995
2, 16, 0, -343021.474766, 0.216437, -25242644.603147, 0.838325
2, 16, 1, -343021.474766, 0.182210, -25242644.603147, 0.779208
2, 16, 2, -343021.474766, 0.193599, -25242644.603147, 0.763701
2, 16, 3, -343021.474766, 0.232331, -25242644.603147, 0.829532
2, 16, 4, -343021.474766, 0.217424, -25242644.603147, 0.797745
2, 16, 5, -343021.474766, 0.189234, -25242644.603147, 0.782474
2, 16, 6, -343021.474766, 0.223533, -25242644.603147, 0.825256
