num_threads, kind, chunksize, reps, t1, res1, t2, res2 
4, 1, 1, 1, -343021.474766, 0.481257, -25242644.603147, 4.013186
4, 1, 2, 1, -343021.474766, 0.470116, -25242644.603147, 2.650850
4, 1, 4, 1, -343021.474766, 0.462052, -25242644.603147, 2.442530
4, 1, 8, 1, -343021.474766, 0.462824, -25242644.603147, 2.337406
4, 1, 16, 1, -343021.474766, 0.475514, -25242644.603147, 3.106459
4, 1, 32, 1, -343021.474766, 0.491149, -25242644.603147, 4.787741
4, 1, 64, 1, -343021.474766, 0.563180, -25242644.603147, 5.434417
4, 2, 1, 1, -343021.474766, 0.489028, -25242644.603147, 2.718527
4, 2, 2, 1, -343021.474766, 0.477169, -25242644.603147, 2.481248
4, 2, 4, 1, -343021.474766, 0.455690, -25242644.603147, 2.394610
4, 2, 8, 1, -343021.474766, 0.438139, -25242644.603147, 2.214328
4, 2, 16, 1, -343021.474766, 0.444542, -25242644.603147, 2.204368
4, 2, 32, 1, -343021.474766, 0.447541, -25242644.603147, 3.879957
4, 2, 64, 1, -343021.474766, 0.469849, -25242644.603147, 4.914794
4, 3, 1, 1, -343021.474766, 0.454214, -25242644.603147, 5.431728
4, 3, 2, 1, -343021.474766, 0.442761, -25242644.603147, 5.429788
4, 3, 4, 1, -343021.474766, 0.457443, -25242644.603147, 5.431851
4, 3, 8, 1, -343021.474766, 0.443252, -25242644.603147, 5.433580
4, 3, 16, 1, -343021.474766, 0.439227, -25242644.603147, 5.434545
4, 3, 32, 1, -343021.474766, 0.446173, -25242644.603147, 5.432390
4, 3, 64, 1, -343021.474766, 0.451557, -25242644.603147, 5.430663
