exec, num_threads, reps, res1, t1, res2, t2 
1, 1, 0, -343021.474766, 1.676256, -25242644.603147, 8.657595
1, 1, 1, -343021.474766, 1.644815, -25242644.603147, 8.656160
1, 1, 2, -343021.474766, 1.642638, -25242644.603147, 8.656879
1, 1, 3, -343021.474766, 1.644446, -25242644.603147, 8.657215
1, 1, 4, -343021.474766, 1.641954, -25242644.603147, 8.656601
1, 1, 5, -343021.474766, 1.674242, -25242644.603147, 8.653228
1, 1, 6, -343021.474766, 1.665913, -25242644.603147, 8.653712
1, 1, 7, -343021.474766, 1.672875, -25242644.603147, 8.653121
1, 1, 8, -343021.474766, 1.668926, -25242644.603147, 8.652688
1, 1, 9, -343021.474766, 1.641821, -25242644.603147, 8.653139
1, 1, 10, -343021.474766, 1.674227, -25242644.603147, 8.654823
1, 2, 0, -343021.474766, 0.889068, -25242644.603147, 4.412577
1, 2, 1, -343021.474766, 0.887286, -25242644.603147, 4.413770
1, 2, 2, -343021.474766, 0.884221, -25242644.603147, 4.416330
1, 2, 3, -343021.474766, 0.851913, -25242644.603147, 4.416799
1, 2, 4, -343021.474766, 0.886690, -25242644.603147, 4.413796
1, 2, 5, -343021.474766, 0.891490, -25242644.603147, 4.419345
1, 2, 6, -343021.474766, 0.889136, -25242644.603147, 4.412649
1, 2, 7, -343021.474766, 0.852200, -25242644.603147, 4.413464
1, 2, 8, -343021.474766, 0.885214, -25242644.603147, 4.414987
1, 2, 9, -343021.474766, 0.884426, -25242644.603147, 4.418058
1, 2, 10, -343021.474766, 0.879739, -25242644.603147, 4.414574
1, 4, 0, -343021.474766, 0.465125, -25242644.603147, 2.396445
1, 4, 1, -343021.474766, 0.464002, -25242644.603147, 2.438517
1, 4, 2, -343021.474766, 0.460733, -25242644.603147, 2.456999
1, 4, 3, -343021.474766, 0.461464, -25242644.603147, 2.470926
1, 4, 4, -343021.474766, 0.517587, -25242644.603147, 2.353328
1, 4, 5, -343021.474766, 0.464023, -25242644.603147, 2.442503
1, 4, 6, -343021.474766, 0.459579, -25242644.603147, 2.453878
1, 4, 7, -343021.474766, 0.509518, -25242644.603147, 2.357281
1, 4, 8, -343021.474766, 0.466657, -25242644.603147, 2.438987
1, 4, 9, -343021.474766, 0.454352, -25242644.603147, 2.451983
1, 4, 10, -343021.474766, 0.457612, -25242644.603147, 2.462672
1, 6, 0, -343021.474766, 0.331190, -25242644.603147, 2.015260
1, 6, 1, -343021.474766, 0.331607, -25242644.603147, 2.049130
1, 6, 2, -343021.474766, 0.330204, -25242644.603147, 1.993082
1, 6, 3, -343021.474766, 0.317603, -25242644.603147, 2.006754
1, 6, 4, -343021.474766, 0.330424, -25242644.603147, 2.030054
